system:index,NDMI,NDMI_1,NDMI_10,NDMI_11,NDMI_12,NDMI_13,NDMI_14,NDMI_15,NDMI_16,NDMI_17,NDMI_18,NDMI_19,NDMI_2,NDMI_20,NDMI_21,NDMI_22,NDMI_23,NDMI_24,NDMI_25,NDMI_26,NDMI_27,NDMI_28,NDMI_29,NDMI_3,NDMI_30,NDMI_31,NDMI_32,NDMI_4,NDMI_5,NDMI_6,NDMI_7,NDMI_8,NDMI_9,.geo
000000000000000000c9_0,0.57784146,0.6429354,0.72844034,0.69758064,0.63726705,0.57655954,0.55731225,0.52690166,0.5045143,0.54371,0.595884,0.5968535,0.7057057,0.56137186,0.54295534,0.5129771,0.49837664,0.5604699,0.5725429,0.46223417,0.538936,0.5088428,0.5328859,0.5625447,0.497046,0.5455801,0.5121951,0.572093,0.5412371,0.60884356,0.55253214,0.6123457,0.76875,
000000000000000000ca_0,0.47390273,0.4832193,0.5111663,0.49222797,0.4608379,0.43072647,0.4443978,0.4727129,0.50992066,0.45804292,0.47304237,0.4801125,0.4785808,0.47161728,0.4661017,0.497952,0.46898136,0.50424844,0.46739554,0.53854275,0.46311244,0.5116351,0.49656036,0.48503426,0.5212205,0.5255458,0.5168409,0.48319682,0.47176173,0.5033242,0.44508672,0.46580645,0.4912993,
000000000000000000cb_0,0.42653847,0.43334365,0.4836703,0.47855154,0.46030247,0.45472836,0.4968735,0.45381927,0.46167487,0.43222728,0.43098444,0.4918919,0.4456548,0.58876115,0.46874174,0.48025134,0.42711112,0.4666012,0.4514118,0.44834873,0.51018035,0.40679953,0.440779,0.45616776,0.45534086,0.49513018,0.46726984,0.43953592,0.44019428,0.4863782,0.41206565,0.4268321,0.42347696,
000000000000000000cc_0,0.4237544,0.42805395,0.45116952,0.42709816,0.44244817,0.415819,0.4287599,0.4217359,0.4450498,0.4121479,0.42541707,0.58228904,0.441535,0.51611143,0.42828998,0.4558043,0.4994872,0.43130282,0.43688586,0.4676259,0.5389408,0.4618745,0.5205942,0.42892873,0.46441245,0.45184663,0.46341464,0.5250321,0.437751,0.4378882,0.4243377,0.4412363,0.4472169,
000000000000000000cd_0,0.3897979,0.42533615,0.420661,0.42425984,0.42687455,0.44964617,0.40223566,0.45277718,0.43288952,0.45068872,0.40955234,0.5201433,0.40457204,0.41703305,0.41034728,0.4084761,0.40984184,0.41900206,0.4252652,0.4087821,0.42618167,0.43205944,0.46391004,0.40175474,0.4667668,0.45330057,0.48,0.38767466,0.41736314,0.40101168,0.39737532,0.4233813,0.40911528,
000000000000000000ce_0,0.47256294,0.4768358,0.45301542,0.59598094,0.4318363,0.4592732,0.41811174,0.45465612,1.005293,0.44922826,0.44390637,0.4247333,0.44184634,0.45850262,0.42966002,0.4397394,0.4172494,0.4895789,0.567713,0.4352861,0.53810626,0.4833795,0.48514852,0.43682665,0.45436037,0.4713777,0.4702735,0.4669175,0.39589146,0.38512897,0.40410256,0.4100683,0.4761155,
000000000000000000cf_0,0.44700462,0.4367347,0.48459804,0.4739069,0.4519685,0.48071727,0.450517,0.4651163,0.4585545,0.43784323,0.4427096,0.43935928,0.49149796,0.47368422,0.45615867,0.4435576,0.49931476,0.45162347,0.46555883,0.48153847,0.41074523,0.42585662,0.44703197,0.42665267,0.4408602,0.48676956,0.5386364,0.41847205,0.42267594,0.4858105,0.4224599,0.47998023,0.5145098,
000000000000000000d0_0,0.42439386,0.42292136,0.4443622,0.4551495,0.46105605,0.42949757,0.45511988,0.44879803,0.4673599,0.47558385,0.44984886,0.44066653,0.47606054,0.4603762,0.4257371,0.44666836,0.41460824,0.54964536,0.4651867,0.44944945,0.446925,0.46386945,0.4734599,0.42978123,0.47080877,0.47726753,0.50654334,0.45642316,0.41513687,0.4256688,0.49023637,0.44347826,0.534058,
000000000000000000d1_0,0.46737358,0.5785513,0.44162658,0.47478262,0.46836686,0.43410605,0.4472444,0.4769302,0.9407149,0.47002047,0.45467696,0.44922632,0.5043834,0.46629056,0.57289004,0.46535948,0.42835367,0.447191,0.45214006,0.4427694,0.45282462,0.454102,0.49420625,0.4443769,0.48226753,0.46799836,0.48592263,0.46638206,0.43289307,0.4678617,0.40805763,0.40384614,0.4860912,
000000000000000000d2_0,0.47328725,0.65642774,0.5001373,0.6289028,0.48927614,0.47360247,0.50398403,0.70225054,0.5596184,0.4629862,0.48998886,0.495702,0.5697446,0.5391545,0.58307534,0.46605355,0.43446246,0.49865046,0.4955145,0.43609604,0.47363305,0.45926172,0.49056605,0.45861298,0.49185988,0.49490473,0.49823487,0.46553022,0.46625912,0.4310595,0.46182874,0.4257544,0.49165598,
