"","system.index","Wetness","Wetness_1","Wetness_10","Wetness_11","Wetness_12","Wetness_13","Wetness_14","Wetness_15","Wetness_16","Wetness_17","Wetness_18","Wetness_19","Wetness_2","Wetness_20","Wetness_21","Wetness_22","Wetness_23","Wetness_24","Wetness_25","Wetness_26","Wetness_27","Wetness_28","Wetness_29","Wetness_3","Wetness_30","Wetness_31","Wetness_32","Wetness_4","Wetness_5","Wetness_6","Wetness_7","Wetness_8","Wetness_9",".geo","CID","class"
"11","0000000000000000000a_0",-443.5506,-552.2981,-381.19952,-469.4732,-401.8543,-532.8062,-591.1658,-796.15063,-709.41376,-1010.15344,-831.9256,-675.1048,-533.7298,-636.956,-640.248,-576.1286,-766.16644,-688.2637,-675.9561,-765.3181,-931.8863,118.8222,201.48365,-563.8719,185.9664,110.088,161.4936,-415.6367,-585.8287,-441.2395,-492.44263,-599.5523,-574.2907,NA,11,"for"
"12","0000000000000000000b_0",-837.3383,-820.5279,-614.68066,-580.3153,-614.4073,-642.35376,-549.8664,-912.81714,-887.47186,-960.0162,-893.3091,-625.8819,-694.7633,-609.4166,-821.041,-623.1638,-953.0287,-591.0686,-695.4287,-759.893,-1017.5018,134.1484,169.9705,-777.9298,181.9894,-131.83405,97.8132999999998,-690.4236,-719.6533,-676.3651,-524.41656,-684.3922,-735.86816,NA,12,"for"
"13","0000000000000000000c_0",-883.5443,-839.11975,-689.7877,-736.2767,-622.3686,-772.3855,-638.25745,-1081.311,-1017.46204,-1147.57,-974.6391,-856.4185,-730.47955,-745.0524,-771.8572,-720.0327,-977.8813,-711.30786,-841.6572,-793.4752,-1057.842,135.6505,112.1038,-812.438,99.3693,40.5869999999998,141.3883,-772.26697,-744.47754,-764.2209,-622.901,-742.95966,-802.5084,NA,13,"for"
"14","0000000000000000000d_0",-399.1308,-493.5611,-231.32874,-534.13306,-379.0735,-466.1408,-474.6884,-654.08966,-625.0984,-698.2114,-683.3374,-615.5102,-510.03766,-451.2865,-414.5231,-535.277,-648.74207,-433.1818,-576.5703,-544.8495,-740.4585,68.69645,94.3010999999999,-613.12024,60.3267999999998,133.9128,123.8351,-459.3643,-470.97748,-373.7645,-336.4017,-538.1258,-516.9467,NA,14,"for"
"15","0000000000000000000e_0",-538.1717,-514.6331,-468.7138,-473.175,-452.2861,-535.3237,-510.8468,-811.6835,-807.4315,-921.2455,-755.6815,-748.9479,-504.41437,-623.8842,-585.6428,-578.8661,-805.7962,-541.7261,-675.7488,-725.7522,-860.59,35.5827,164.6612,-534.3971,119.36145,126.7546,148.9818,-480.28815,-476.83035,-464.38367,-437.02115,-524.3678,-492.8688,NA,15,"for"
"16","0000000000000000000f_0",-522.7471,-532.31165,-373.9188,-454.8192,-408.7439,-446.27466,-463.44904,-707.09644,-712.16907,-763.5069,-694.1592,-575.87775,-525.3487,-488.6358,-581.0896,-502.0071,-612.8224,-453.72333,-491.7001,-503.2774,-722.7073,211.2931,146.0273,-559.2621,165.428,135.89065,157.214,-495.2864,-430.6467,-439.6811,-368.7647,-435.9658,-420.52216,NA,16,"for"
"17","00000000000000000010_0",-908.5398,-855.2166,-721.7368,-692.7336,-696.634,-736.2571,-754.9299,-957.79266,-1018.1811,-1136.6637,-985.81396,-902.65967,-814.0521,-691.2062,-836.74426,-760.3755,-961.2012,-823.1439,-857.3632,-935.5207,-1089.18,83.4825999999998,158.4626,-876.0859,61.5755499999999,100.6643,175.5987,-697.92316,-757.8393,-709.95294,-656.97424,-778.14966,-758.03577,NA,17,"for"
"18","00000000000000000011_0",-858.6408,-781.144,-578.69434,-663.0167,-626.0295,-672.7327,-691.9103,-933.7728,-914.3402,-1051.9011,-893.444,-880.9601,-736.25146,-807.49194,-688.6942,-682.9136,-776.198,-713.5998,-663.3623,-814.2074,-935.45435,-27.9447,97.1087000000001,-822.4684,70.0846999999999,140.96055,171.3834,-667.132,-773.9603,-670.0762,-645.7453,-708.7012,-752.0256,NA,18,"for"
"19","00000000000000000012_0",-1160.2726,-954.12256,-797.9104,-771.8198,-756.8982,-818.0598,-799.6205,-1042.8599,-1091.8262,-1208.5258,-985.5178,-946.9572,-934.302,-768.7996,-926.57825,-844.8143,-976.9999,-859.75714,-917.3657,-775.8216,-1111.7605,-6.18950000000004,121.29745,-867.6077,143.9082,144.06735,177.2609,-827.3916,-669.9694,-792.1476,-608.2534,-759.9128,-765.1395,NA,19,"for"
"20","00000000000000000013_0",-530.2814,-515.83167,-476.22485,-552.2649,-481.7585,-549.66754,-572.1322,-806.76904,-799.1396,-860.1969,-837.7432,-728.9386,-498.0056,-692.0513,-617.9918,-615.84814,-813.4627,-613.8956,-671.621,-803.6225,-948.8077,-142.11335,23.25805,-582.2507,16.4384500000001,1.25599999999991,7.12520000000001,-539.3463,-520.6173,-518.9976,-392.56067,-635.1557,-588.5786,NA,20,"for"
"21","00000000000000000014_0",-829.0168,-783.2466,-663.876,-659.92255,-666.3754,-729.8732,-643.9865,-982.5197,-1004.2586,-1077.4084,-946.2692,-922.6307,-693.5763,-763.8219,-906.4018,-694.9767,-1010.2847,-728.6532,-777.6939,-835.7229,-1019.0585,42.8536000000001,96.1778000000002,-771.4706,66.81285,61.5323500000001,90.7551999999999,-624.18616,-690.1172,-656.3309,-622.0561,-675.9762,-716.491,NA,21,"for"
"22","00000000000000000015_0",-615.4828,-663.4973,-554.8885,-642.5143,-572.8259,-767.26886,-699.4867,-950.34314,-912.5974,-1022.3981,-908.13654,-755.304,-566.9944,-760.4244,-822.08105,-757.19946,-949.4577,-831.6105,-912.42834,-795.7075,-1005.6626,-77.82605,97.0789000000001,-703.9728,79.0594,56.65535,121.991,-500.438,-575.5105,-572.0604,-645.2212,-558.8031,-575.2402,NA,22,"for"
"23","00000000000000000016_0",-655.9961,-625.1543,-552.1448,-634.2739,-596.9255,-673.6389,-555.4454,-941.8226,-894.1846,-1022.9551,-874.5271,-825.0711,-570.8579,-747.978,-772.9391,-749.1246,-895.8248,-699.5371,-820.3034,-876.8272,-1052.684,-2.18520000000012,73.4023499999999,-642.1027,70.3213499999999,17.604,88.2359,-549.1323,-640.855,-552.1754,-600.4389,-602.152,-685.7589,NA,23,"for"
"24","00000000000000000017_0",-731.11646,-621.63135,-639.21375,-617.6296,-620.2084,-680.8329,-746.8868,-786.7748,-918.0995,-1054.8057,-782.2954,-851.8112,-697.8293,-639.03467,-835.1057,-714.6399,-843.9063,-654.2449,-767.9976,-739.8403,-1024.5299,88.2539,171.69165,-653.3566,132.78825,97.8082000000002,126.0473,-622.8105,-526.1396,-552.7333,-468.5171,-519.7703,-592.5647,NA,24,"for"
"25","00000000000000000018_0",-960.5264,-732.884,-749.8298,-659.8288,-669.32166,-748.96423,-856.179,-895.9207,-940.1252,-1053.958,-873.4404,-846.7094,-920.1638,-726.2902,-803.76105,-771.75116,-816.4497,-692.3965,-778.2571,-777.8176,-1020.9025,71.5437500000001,103.9002,-791.21704,128.9408,109.2141,143.4425,-672.70953,-616.6389,-693.1213,-633.7373,-634.9536,-683.72473,NA,25,"for"
"26","00000000000000000019_0",-596.4467,-528.2379,-397.3763,-470.99414,-405.0302,-496.65564,-626.3336,-648.1727,-780.6833,-904.6791,-669.8395,-649.7718,-437.36548,-556.9938,-718.3591,-582.7855,-688.421,-631.5626,-601.54376,-641.6793,-893.1685,37.7455,157.97985,-567.1115,84.3648,63.8337,125.95595,-438.1999,-403.22205,-418.46945,-434.1998,-426.5737,-443.92303,NA,26,"for"
"27","0000000000000000001a_0",-591.0719,-615.397,-549.25903,-505.34946,-567.14246,-709.8291,-640.4996,-850.888,-964.787,-1013.0464,-837.9618,-890.5748,-575.3771,-823.065,-706.2516,-689.11194,-855.2224,-713.5071,-624.5551,-806.8736,-1029.4934,31.6566000000001,172.4367,-653.0718,71.36365,126.9852,173.4224,-520.4385,-494.40332,-509.2324,-459.565,-462.1405,-570.8475,NA,27,"for"
"28","0000000000000000001b_0",-702.5187,-833.5443,-785.9358,-834.0427,-957.5578,-842.9524,-897.452,-1185.9388,-1184.5111,-1332.9539,-1248.0304,-902.4424,-835.6818,-763.1427,-708.25305,-827.338,-862.8341,-799.9228,-827.05566,-1000.6082,-1304.4327,-61.5614999999999,12.35095,-916.91833,11.2443,-27.3895,-4.39830000000018,-803.73096,-840.1039,-872.1383,-910.36523,-972.0018,-958.4503,NA,28,"for"
"29","0000000000000000001c_0",-419.2995,-462.2403,-434.7981,-434.9528,-550.9467,-538.16,-547.1143,-723.6814,-678.8758,-878.14087,-757.1749,-570.5261,-438.94785,-584.26416,-554.4698,-569.5843,-650.6905,-555.3303,-676.2303,-715.10645,-868.4716,-44.69215,78.2572500000001,-599.4047,71.2301999999999,48.2677,74.0555499999999,-390.3891,-470.3494,-416.60657,-593.4116,-570.2376,-539.371,NA,29,"for"
"30","0000000000000000001d_0",-418.2433,-455.2649,-316.7535,-392.47052,-513.2641,-454.9062,-513.28,-634.7883,-610.16833,-741.4883,-695.21606,-549.24115,-458.82117,-475.69104,-451.333,-539.07117,-743.3964,-526.7633,-551.837,-605.9811,-838.4532,41.6195,111.63225,-597.0008,94.1279,99.7749999999999,122.2868,-479.5158,-433.2896,-404.9538,-548.9171,-599.0201,-481.53314,NA,30,"for"
"31","0000000000000000001e_0",-290.11127,-284.7225,-259.2279,-287.3289,-281.71637,-341.2403,-360.60614,-456.11685,-508.59943,-560.0615,-552.0789,-477.41742,-254.2439,-415.43985,-422.8893,-380.1604,-505.93176,-420.029,-443.6494,-477.9053,-598.6925,-11.80485,49.2694,-364.5746,61.8344,50.2065999999999,84.9084000000001,-293.13983,-231.9305,-264.05194,-338.0826,-314.4254,-293.48315,NA,31,"for"
"32","0000000000000000001f_0",-788.3154,-717.02856,-801.1587,-753.5224,-761.609,-875.9987,-963.7368,-1064.6296,-1205.8059,-1206.602,-1038.5734,-787.4958,-799.4986,-766.99786,-747.0729,-731.42334,-743.0211,-726.3105,-726.6238,-975.021,-1169.1274,-52.00925,81.3085999999998,-789.7499,22.6815999999999,42.6846499999999,54.1903500000001,-714.48645,-725.4022,-719.3172,-745.7174,-744.9263,-781.4046,NA,32,"for"
"33","00000000000000000020_0",-649.1521,-825.0963,-734.6663,-832.5141,-858.2141,-843.878,-870.1597,-1079.8397,-1201.5161,-1262.4398,-1258.0281,-977.2613,-640.9735,-709.65625,-694.9602,-665.09143,-777.4386,-762.4894,-826.8117,-906.522,-958.8293,-16.2430499999999,11.9973499999999,-819.6723,24.3176999999999,25.2768999999999,49.6129000000001,-692.6157,-748.01807,-794.25635,-861.538,-805.3303,-914.078,NA,33,"for"
"34","00000000000000000021_0",-794.7835,-781.8092,-766.173,-649.3327,-692.06415,-817.599,-860.2902,-983.4297,-964.818,-1091.561,-994.9568,-971.0284,-781.0085,-783.22437,-772.4022,-730.819,-975.5104,-712.105,-734.65265,-850.3527,-1077.711,67.5800000000001,129.78095,-807.8427,211.7294,153.8905,194.64885,-716.1407,-627.3454,-676.8814,-809.5362,-734.97473,-718.993,NA,34,"for"
