system:index,Greenness,Greenness_1,Greenness_10,Greenness_11,Greenness_12,Greenness_13,Greenness_14,Greenness_15,Greenness_16,Greenness_17,Greenness_18,Greenness_19,Greenness_2,Greenness_20,Greenness_21,Greenness_22,Greenness_23,Greenness_24,Greenness_25,Greenness_26,Greenness_27,Greenness_28,Greenness_29,Greenness_3,Greenness_30,Greenness_31,Greenness_32,Greenness_4,Greenness_5,Greenness_6,Greenness_7,Greenness_8,Greenness_9,.geo
000000000000000000ab_0,1933.5596,2206.449,1978.3822,1965.7675,1910.9534,1717.3615,1783.5348,1712.8145,1659.7495,1788.6836,1551.2512,1711.5034,1928.1508,1685.1084,1696.11,1678.3429,1657.6538,1951.2646,1830.3662,1737.4058,1678.0177,1767.465,2013.5522,2149.4463,1874.7458,1935.3835,1940.1069,1907.1932,2517.2021,2135.1099,1842.7798,1994.7192,2237.1719,
000000000000000000ac_0,1746.6992,2052.3762,2038.8767,2024.5054,2026.7032,1746.2753,1769.5669,1926.1338,1692.6093,1876.6667,1723.6865,1721.9961,1721.3945,1816.5616,1735.8926,1706.8821,1868.0397,1842.839,2000.4534,1895.0143,1521.0792,1798.3472,2272.0261,2281.1484,2032.2449,1892.1449,2027.8466,1899.9926,2252.3413,2147.5679,1843.5974,2296.1943,1786.0927,
000000000000000000ad_0,2031.3486,2464.8723,2019.4418,2191.3672,1821.2805,1813.1853,1730.3516,1807.1978,1745.9102,1653.5236,1961.331,1894.6255,2121.7932,1853.9034,1688.1198,1771.7657,1885.4502,1827.7856,1927.9716,1888.4164,1661.5652,1825.6283,2114.4778,2727.0466,2032.8787,1779.0842,1890.2925,2173.2737,2637.6035,2304.504,1965.8662,2258.8054,2184.3062,
000000000000000000ae_0,2003.4465,2174.5708,2245.631,1868.5509,2103.8435,1778.3018,1883.8699,1812.588,1797.2229,1642.192,1968.187,1852.1067,2000.019,1962.6086,1831.8625,1793.6726,1709.8118,1870.1217,1849.5597,1902.17,1492.7202,1799.1573,2231.6,2317.7773,2090.0312,2003.1917,1947.8531,2069.189,2491.013,2427.2258,1935.7677,2148.4192,2231.5586,
000000000000000000af_0,2321.2158,2288.1018,2478.1704,2185.9849,2222.5854,2176.8984,2098.3054,1806.4773,1786.6991,1668.76,1781.6152,1825.6638,2371.5298,2023.2749,1988.8734,1842.9044,1623.7748,2095.3545,2161.736,1996.2,1675.5084,2285.0151,2256.2913,2405.551,2265.8325,2225.8584,2311.316,2412.3276,2412.3918,2440.8818,2103.2808,2187.108,2097.0679,
000000000000000000b0_0,1201.484,1341.5245,1109.6094,1207.521,1317.1436,1208.3347,1204.0294,1278.8757,1245.1387,1199.254,1271.7319,1316.1498,1510.0927,1261.2799,1224.7708,1268.918,1350.4011,1440.2578,1439.2866,1377.802,1078.467,1348.5662,1684.6187,1533.6017,1571.582,1449.2571,1689.1035,1324.9065,1495.2118,1336.782,1563.9843,1481.0472,1308.7279,
000000000000000000b1_0,1245.2626,1636.3213,1634.179,1733.1759,1779.9873,1655.8654,1718.6318,1509.3416,1602.2126,1486.7002,1576.2437,1527.4843,1671.9222,1649.7981,1488.3593,1452.364,1489.7125,1624.2135,1821.4614,1625.6517,1412.7172,1903.0938,1890.3328,1689.6908,1806.104,1832.4906,1922.4172,1740.2585,1766.3289,1578.9633,1662.5026,1624.987,1849.3147,
000000000000000000b2_0,1787.2395,1783.4241,1968.1304,1695.1635,1721.3035,1736.5303,1762.6794,1503.565,1605.0645,1444.2218,1579.9952,1639.1663,1745.9336,1788.3636,1807.4364,1580.3839,1624.6445,1906.1074,1989.4634,1828.0688,1587.9578,2281.549,2056.1086,1831.4622,2108.36,2168.5674,2086.766,2034.2712,1425.6532,1803.7328,1550.7478,1648.4003,1684.7009,
000000000000000000b3_0,1775.0652,1617.3191,1830.7476,1809.8678,1813.0359,1798.4156,1617.4026,1620.2227,1551.0936,1473.473,1532.5582,1557.6686,1848.8767,1713.5618,1700.0686,1687.8816,1561.5632,1847.2458,1928.3164,1780.19,1541.1428,2114.4346,2009.4882,1894.0833,2026.2822,2173.1526,2141.6396,1871.3033,1575.7415,1741.2926,1629.9397,1658.1982,1591.6823,
000000000000000000b4_0,2131.1917,2166.463,2193.6729,2137.084,1976.0996,1924.1423,2091.162,1882.1508,1656.4321,1605.6838,1777.5737,1785.1407,2232.5305,1882.9753,1848.7385,1793.6244,1747.0251,2000.6652,1942.3754,1859.0566,1607.3939,1966.2847,2224.4468,2241.37,2082.986,2013.7771,2123.404,2099.9727,2157.0884,2113.5515,2090.406,1994.05,2104.3025,
