system:index,RED,RED_1,RED_10,RED_11,RED_12,RED_13,RED_14,RED_15,RED_16,RED_17,RED_18,RED_19,RED_2,RED_20,RED_21,RED_22,RED_23,RED_24,RED_25,RED_26,RED_27,RED_28,RED_29,RED_3,RED_30,RED_31,RED_32,RED_4,RED_5,RED_6,RED_7,RED_8,RED_9,VALUE,.geo
000000000000000000d3_0,259.0,350.0,161.0,314.0,442.0,419.0,375.0,391.5,351.0,366.0,417.5,391.0,304.0,269.0,298.0,395.5,456.0,291.0,329.5,408.0,244.0,188.0,257.5,431.0,297.0,179.5,229.0,298.0,370.0,372.5,487.0,530.5,520.0,1.0,
000000000000000000d4_0,342.5,375.0,295.0,352.0,297.0,351.0,305.0,325.0,367.0,306.5,327.5,312.5,301.0,313.0,287.0,409.0,416.0,339.0,569.0,599.0,501.5,698.0,567.5,324.0,582.5,545.0,476.0,315.5,367.0,326.0,489.0,463.0,336.0,1.0,
000000000000000000d5_0,461.0,392.0,758.0,949.0,659.0,523.0,1042.5,477.0,443.0,754.0,574.0,712.0,482.0,800.0,647.0,298.5,744.0,597.0,641.0,701.0,186.0,260.0,188.0,654.0,178.0,216.0,201.0,616.0,389.5,563.5,562.0,492.5,519.0,1.0,
000000000000000000d6_0,518.0,692.0,681.0,584.5,561.0,663.0,598.5,696.0,671.0,776.0,807.0,701.0,494.0,611.5,621.0,724.0,672.0,641.0,583.5,690.0,547.0,472.0,764.5,589.0,553.0,443.0,569.0,443.0,633.0,557.0,883.0,766.0,651.5,1.0,
000000000000000000d7_0,370.0,447.0,379.0,584.0,464.0,556.0,637.0,536.0,496.0,520.0,672.5,589.0,398.0,503.5,471.0,653.0,615.5,519.0,478.0,591.0,474.0,757.0,600.0,464.0,574.5,464.5,457.0,335.0,664.0,589.5,754.0,654.5,692.0,1.0,
000000000000000000d8_0,517.0,621.0,620.0,631.0,657.0,747.5,609.0,761.0,775.5,763.0,705.5,650.0,507.5,634.0,665.0,524.5,732.0,593.0,572.0,667.0,603.5,542.0,664.5,573.5,588.0,491.0,751.0,494.0,743.0,789.0,975.0,764.0,555.5,1.0,
000000000000000000d9_0,301.0,536.5,569.0,1088.0,651.0,478.5,1149.0,512.5,468.0,832.0,687.0,748.0,451.0,904.0,646.0,604.5,869.0,885.0,907.0,848.0,171.0,239.0,272.0,669.0,218.0,227.0,298.0,618.0,359.0,614.0,607.0,776.0,510.0,1.0,
000000000000000000da_0,489.0,606.0,482.0,778.5,560.0,677.0,506.0,679.0,585.0,737.0,623.0,662.5,481.0,563.5,643.5,665.0,663.5,651.0,693.0,688.5,729.5,610.0,744.0,515.0,784.0,664.0,605.5,445.0,597.5,603.0,994.0,789.0,906.5,1.0,
000000000000000000db_0,492.5,649.0,588.0,709.0,682.0,823.0,734.5,899.0,735.0,655.0,756.5,724.5,513.0,792.0,803.0,855.0,770.0,612.0,636.0,818.0,736.0,732.0,765.0,604.5,726.5,669.0,721.0,534.0,713.0,645.0,1005.0,881.5,853.0,1.0,
000000000000000000dc_0,608.5,715.5,773.0,580.0,461.0,590.0,493.5,638.0,683.0,558.0,739.0,847.5,549.0,700.0,885.0,843.0,694.0,746.0,769.5,728.0,1023.0,885.0,730.0,771.0,611.0,792.0,789.0,620.0,906.0,651.0,731.0,819.0,886.0,1.0,
