system:index,NDVI,NDVI_1,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_2,NDVI_20,NDVI_21,NDVI_22,NDVI_23,NDVI_24,NDVI_25,NDVI_26,NDVI_27,NDVI_28,NDVI_29,NDVI_3,NDVI_30,NDVI_31,NDVI_32,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,.geo
00000000000000000060_0,0.83282363,0.8645221,0.93973637,0.9566396,0.86410636,0.8463048,0.8533135,0.906815,1.0608696,0.8933333,0.8886256,0.87546784,0.9597315,0.8644986,0.8939269,0.89191025,0.8743802,0.8790947,0.900813,0.8736232,0.8613994,1.0902256,1.1398176,0.8729809,1.0069808,1.1824212,1.1631799,0.8508569,0.830303,0.8333333,0.79239523,0.83326423,0.915334,
00000000000000000061_0,0.8695652,0.8848114,0.9816634,0.9367698,0.91471213,0.89280975,0.9272944,0.92179227,0.9272959,0.9365726,0.9569337,0.916309,0.9118692,0.8670479,0.8993289,0.90905863,0.96554935,0.9034889,0.91671354,0.8996452,0.9117647,0.93282443,0.9229892,0.87814254,0.9259724,0.93634576,0.92100066,0.9080037,0.8434555,0.886076,0.81435645,0.8505291,0.8679493,
00000000000000000062_0,0.8605516,0.85664666,0.9026804,0.91369754,0.9009434,0.8812964,0.8893647,0.91165555,0.9006597,0.9163924,0.89876264,0.88893265,0.87260705,0.91572237,0.9399538,0.8981631,0.89861417,0.895574,0.93201685,0.91314286,0.9048496,0.9064776,0.9277441,0.8890208,0.9178886,0.91797674,0.9201201,0.88494277,0.8578991,0.86626345,0.84441197,0.852689,0.8856713,
00000000000000000063_0,0.8577572,0.89644414,0.8804892,0.87446153,0.88647276,0.87669873,0.88228226,0.88001156,1.0242915,0.9117733,0.90087146,0.90408754,0.8947671,0.9025051,0.8889632,0.8892866,0.89384663,0.90377456,0.90105265,0.8961892,0.8989486,0.8932292,0.9222744,0.88235295,0.91549295,0.9024126,0.9105774,0.87388533,0.8728059,0.86728215,0.8217941,0.85641336,0.8995373,
00000000000000000064_0,0.82887703,0.8603329,0.8628205,0.846926,0.86587304,0.8303234,0.8472012,0.9080997,0.9241517,0.9137032,0.91150445,0.9045031,0.8844221,0.84952664,0.89101523,0.91195595,0.92502534,0.9245902,0.93190813,0.92824155,0.8989143,0.9284404,1.0743692,0.87011766,1.0,1.0020987,0.98876405,0.8660538,0.84241307,0.82896435,0.7871622,0.8350836,0.86280817,
00000000000000000065_0,0.80310327,0.9905993,0.82051283,0.8449292,0.88116044,0.86794627,0.85865724,0.8782532,0.93781346,0.8839506,0.9179601,0.8849967,0.90588236,0.8997162,0.9402655,0.8791367,0.90543735,0.8847385,0.90452874,0.90041006,0.895166,0.90533733,0.9863791,0.845023,1.0030912,1.1328413,1.0455765,0.8666667,0.8419575,0.90613717,0.76974565,0.80461985,0.95862067,
00000000000000000066_0,0.887664,0.911259,0.9043853,1.0157576,0.9142857,0.874921,0.8820988,0.9228964,0.92540795,0.93373305,0.94122887,0.91562295,0.9022697,0.9031021,0.934907,0.91313267,0.90347224,0.91797554,0.92757493,0.92156863,0.946719,0.91767126,0.93238825,0.9059214,0.9236303,0.939976,0.93091017,0.89065784,0.8869994,0.88468575,0.84168214,0.86777407,0.89295775,
00000000000000000067_0,0.80240965,1.2758621,0.7912088,3.3555555,1.0434783,0.8643392,1.0361757,0.8965129,0.93621397,1.0,0.9048811,0.93015134,0.9866221,0.94074076,0.9861111,0.9025341,0.9276236,0.863836,1.1782945,0.9516441,0.89014083,1.5384616,1.4615384,0.9108635,1.3348018,1.6899563,1.7612903,0.8512397,0.8597561,0.9477612,0.7395953,0.80810916,1.0498443,
00000000000000000068_0,0.8673257,0.9086994,0.8852799,1.015389,0.8931001,0.88239205,0.89431703,0.91331756,0.91175544,0.9198697,0.9249915,0.9001377,0.87228334,0.896196,0.87896633,0.89735097,0.8933244,0.8996811,0.93245316,0.9121304,0.91955525,0.91115314,0.9332753,0.89480317,0.9357032,0.930192,0.93189967,0.87995124,0.88370043,0.91449606,0.8151211,0.8528325,0.899271,
00000000000000000069_0,0.8443182,0.86587566,0.87904966,0.9643503,0.9058756,0.84320086,0.8744327,0.88377875,0.8857301,0.89423364,0.89970183,0.88541085,0.86598766,0.8835795,0.8883187,0.8536009,0.87104475,0.88031495,0.8991355,0.8996883,0.8705518,0.8805578,0.91168696,0.8895571,0.91158456,0.8985466,0.90662885,0.88061976,0.8555202,0.87086093,0.7992565,0.84775084,0.84623957,
