system:index,NDMI,NDMI_1,NDMI_10,NDMI_11,NDMI_12,NDMI_13,NDMI_14,NDMI_15,NDMI_16,NDMI_17,NDMI_18,NDMI_19,NDMI_2,NDMI_20,NDMI_21,NDMI_22,NDMI_23,NDMI_24,NDMI_25,NDMI_26,NDMI_27,NDMI_28,NDMI_29,NDMI_3,NDMI_30,NDMI_31,NDMI_32,NDMI_4,NDMI_5,NDMI_6,NDMI_7,NDMI_8,NDMI_9,VALUE,.geo
00000000000000000035_0,0.32394916,0.3220058,0.32644716,0.33237997,0.38235295,0.22759655,0.30083078,0.28762245,0.3103176,0.27983382,0.25580612,0.30445394,0.3234811,0.45396826,0.31037277,0.2908853,0.306584,0.41482046,0.2927477,0.3027307,0.27356747,0.31923243,0.34829268,0.27835447,0.36189574,0.37043795,0.41000748,0.31037092,0.3257801,0.34259415,0.21192053,0.22749068,0.25449154,1.0,
00000000000000000036_0,0.41998407,0.38472518,0.2542373,0.4161429,0.31158715,0.33711603,0.3158511,0.33857617,0.32625,0.37648273,0.37725168,0.32493946,0.39678743,0.3103007,0.3428771,0.37024793,0.26865673,0.27116126,0.26835352,0.22966708,0.16029324,0.084043376,0.34110788,0.27788693,0.2675,0.27724776,0.3306419,0.40664962,0.2623219,0.30078125,0.34409162,0.4234609,0.3069481,1.0,
00000000000000000037_0,0.46905538,0.38484848,0.49815497,0.41717258,0.3813084,0.3507729,0.55576557,0.73410404,0.5004292,0.47551867,0.65358853,0.65462756,0.41354808,0.608154,0.5584416,0.49342105,0.5683604,0.56587476,0.58059704,0.5021834,0.62970936,0.2960725,0.38501292,0.34779835,0.3697479,0.46201745,0.45878693,0.39794967,0.41597795,0.41472507,0.42676055,0.27900288,0.3250444,1.0,
00000000000000000038_0,0.2931642,0.4010239,0.28135788,0.219407,0.32652044,0.13376044,0.28883904,0.20656635,0.30431417,0.1742354,0.15085903,0.17285383,0.34699687,0.2344607,0.18346474,0.29395542,0.14245176,0.24728529,0.2968088,0.2952183,0.21026213,0.066931084,0.25989568,0.343785,0.31223023,0.40200195,0.36249316,0.29916963,0.25354415,0.23050515,0.16127168,0.20077035,0.17884019,1.0,
00000000000000000039_0,0.29911232,0.36629215,0.3712442,0.4370282,0.35473517,0.3916837,0.40101972,0.3340976,0.35024112,0.3804644,0.3177099,0.3831563,0.36988804,0.2961339,0.29456896,0.33238682,0.36545286,0.39582583,0.39179045,0.43393782,0.26337832,0.09209545,0.375,0.3738807,0.37200144,0.38392052,0.36477312,0.38298598,0.34649196,0.26954493,0.16136469,0.07666426,0.26562825,1.0,
0000000000000000003a_0,0.4569474,0.48712492,0.3850605,0.4778833,0.43794146,0.5352809,0.4578005,0.4164447,0.44627607,0.4107744,0.35504335,0.35964525,0.47952047,0.37226278,0.35248172,0.3305231,0.4214498,0.34382567,0.38573098,0.39744118,0.43462285,0.37085828,0.43740606,0.43636364,0.3451217,0.4458179,0.41478002,0.43826747,0.43073395,0.34279594,0.37085137,0.42403808,0.40013984,1.0,
0000000000000000003b_0,0.46688926,0.5187133,0.2805,0.30279458,0.22317933,0.15991037,0.33749646,0.219727,0.30888966,0.2514151,0.35332847,0.30374354,0.40056023,0.33789563,0.38714916,0.2617395,0.2593306,0.24634995,0.26865673,0.40446168,0.2918423,0.11636364,0.27967712,0.15971063,0.3406436,0.3687769,0.42454633,0.27153477,0.30658627,0.280745,0.12858827,0.26624903,0.26814428,1.0,
0000000000000000003c_0,0.42832053,0.44671613,0.36576855,0.40129152,0.38108882,0.34706196,0.3664292,0.38519448,0.40949556,0.38935912,0.4688814,0.41614664,0.35105205,0.34793296,0.37716377,0.36861885,0.35178027,0.4340344,0.3631658,0.36706412,0.36776316,0.37419355,0.47033897,0.39792636,0.48502994,0.44069675,0.45463988,0.3867174,0.44397706,0.4083713,0.39534885,0.42973426,0.42820457,1.0,
0000000000000000003d_0,0.1517629,0.39339104,0.52084744,0.4642202,0.4565113,0.41524366,0.49032837,0.22962397,0.17328767,0.24927114,0.16772108,0.29634643,0.26298457,0.2799443,0.3139103,0.23742276,0.3133228,0.2899494,0.27831864,0.40749148,0.17590441,0.3150327,0.295013,0.14489385,0.25486442,0.3150298,0.3790376,0.20875083,0.17293474,0.24515918,0.36328125,0.44626117,0.49972543,1.0,
0000000000000000003e_0,0.46993318,0.46975735,0.40808082,0.54634774,0.4358209,0.41836512,0.46711102,0.468566,0.3580638,0.4121098,0.44805077,0.43142742,0.47347346,0.42566037,0.5021656,0.31790987,0.45488304,0.37146944,0.38084415,0.36515427,0.30967742,0.16764237,0.35406545,0.48135117,0.3813475,0.3213213,0.30606544,0.46783626,0.48315188,0.45144805,0.4270991,0.41979834,0.34682217,1.0,
0000000000000000003f_0,0.43275863,0.4308259,0.39858854,0.56442416,0.37698686,0.4099182,0.36459854,0.3404,0.35868892,0.41296348,0.4104903,0.31370398,0.47641775,0.30775303,0.4288577,0.34072778,0.3423233,0.36225855,0.3591715,0.3085973,0.34789804,0.401068,0.408272,0.2896831,0.42376238,0.41079774,0.4036525,0.35790727,0.4217956,0.35673165,0.40887657,0.3568734,0.38953868,1.0,
00000000000000000040_0,0.32798758,0.3310673,0.32044762,0.31093007,0.2638727,0.31004366,0.29562435,0.3847348,0.32172504,0.293999,0.34196496,0.31046513,0.32820377,0.3182659,0.26835608,0.28046077,0.2846154,0.32850716,0.2860606,0.40503743,0.30449694,0.2749161,0.35646355,0.3407713,0.4310685,0.31914893,0.4553882,0.39645278,0.39261016,0.3649053,0.34091923,0.3101712,0.36231244,1.0,
