"","system.index","NDMI","NDMI_1","NDMI_10","NDMI_11","NDMI_12","NDMI_13","NDMI_14","NDMI_15","NDMI_16","NDMI_17","NDMI_18","NDMI_19","NDMI_2","NDMI_20","NDMI_21","NDMI_22","NDMI_23","NDMI_24","NDMI_25","NDMI_26","NDMI_27","NDMI_28","NDMI_29","NDMI_3","NDMI_30","NDMI_31","NDMI_32","NDMI_4","NDMI_5","NDMI_6","NDMI_7","NDMI_8","NDMI_9",".geo","CID","class"
"279","00000000000000000019_0",0.64396286,0.7509434,0.75735295,0.66292137,0.44846797,0.65683645,0.44842926,0.46534654,0.50921434,0.4501452,0.4363871,0.47922763,0.8316327,0.4796289,0.45699483,0.5727749,0.43024963,0.5184534,0.46341464,0.45810056,0.43834382,0.4694163,0.50991625,0.4527786,0.49890015,0.46745563,0.47374496,0.49618322,0.4571805,0.59358287,0.36747205,0.58115184,0.65178573,NA,279,"ltr"
"280","0000000000000000001a_0",0.3093368,0.32629558,0.33237958,0.37094778,0.28437918,0.20642714,0.2858911,0.37964967,0.29701626,0.35945815,0.39806998,0.27486002,0.38530868,0.26569343,0.24968368,0.30934688,0.2540453,0.2333184,0.3328795,0.26365504,0.16883637,0.09808519,0.25503877,0.36920297,0.28585067,0.3221812,0.30667245,0.37241536,0.29513416,0.38363114,0.03292978,0.049655173,0.2543199,NA,280,"ltr"
"281","0000000000000000001b_0",0.5337995,0.6142012,0.7435009,0.685422,0.54117036,0.5077915,0.49935594,0.540209,0.5657492,0.47619048,0.46362516,0.5194103,0.6694215,0.5108911,0.6026365,0.4721834,0.46946302,0.51476115,0.5142191,0.5184466,0.47404256,0.5013096,0.52328765,0.49679488,0.5011839,0.5357737,0.50660795,0.5590244,0.49352518,0.5761936,0.47949934,0.49414518,0.62658846,NA,281,"ltr"
"282","0000000000000000001c_0",0.4259807,0.4391516,0.34547842,0.34911793,0.37973273,0.30496454,0.36269245,0.38574353,0.3370765,0.4047187,0.2640961,0.41224214,0.44526035,0.3288804,0.34377223,0.3743036,0.33080956,0.31046388,0.33694127,0.283076,0.36471447,0.36740762,0.40103558,0.4277592,0.3577399,0.56471485,0.47663552,0.4534035,0.41476002,0.35929462,0.28279054,0.3123001,0.36185926,NA,282,"ltr"
"283","0000000000000000001d_0",0.42640108,0.45198098,0.39189753,0.3780153,0.38756254,0.32135922,0.32738265,0.29586,0.36094674,0.36714727,0.30374813,0.20525657,0.43304348,0.3384297,0.34242475,0.220423,0.31227696,0.3536019,0.3386973,0.31629393,0.2846893,0.24463367,0.16560012,0.4318454,0.32271585,0.2146143,0.21342319,0.34236187,0.34438536,0.3690777,0.4016718,0.35798582,0.4329755,NA,283,"ltr"
"284","0000000000000000001f_0",0.42072985,0.36937448,0.5702833,0.39289895,0.21882951,0.24579346,0.33097845,0.36239496,0.2687783,0.32200116,0.33555633,0.38595515,0.39443204,0.2715428,0.26117906,0.29452622,0.35070843,0.32702664,0.33222038,0.3177268,0.24486148,0.20571883,0.3097455,0.25069985,0.40402862,0.35937214,0.32610083,0.45261037,0.47168618,0.24096203,0.16296178,0.30063778,0.28803498,NA,284,"ltr"
"285","00000000000000000020_0",0.39611408,0.3559788,0.30521172,0.37594873,0.29339173,0.31588,0.3471031,0.39293247,0.40113184,0.21702127,0.22762951,0.3085622,0.2608883,0.30841583,0.27337173,0.3696655,0.3994638,0.36295283,0.3542977,0.28758025,0.3115578,0.34579438,0.50686324,0.26649958,0.4247758,0.41304347,0.49882904,0.34761408,0.32018682,0.35719943,0.2101285,0.3155449,0.32371134,NA,285,"ltr"
"286","00000000000000000021_0",0.47112677,0.47214562,0.46252465,0.33127317,0.26542944,0.37961337,0.41017964,0.24498148,0.41758883,0.36368978,0.41148037,0.4596804,0.4330626,0.45759934,0.46639344,0.43745083,0.4261936,0.4307532,0.34202403,0.4694874,0.38115886,0.38952163,0.4460371,0.15136088,0.43216896,0.4439157,0.52017605,0.32761437,0.29867762,0.30335015,0.37148306,0.285,0.397927,NA,286,"ltr"
"287","00000000000000000022_0",0.39589146,0.37998796,0.386893,0.31387973,0.27829918,0.29097605,0.34316254,0.328,0.35142857,0.38800305,0.36571223,0.40473872,0.36293527,0.43893927,0.32737276,0.32885477,0.35514513,0.40039214,0.3846154,0.40028462,0.43567303,0.27967986,0.4652,0.38153976,0.38475809,0.44105092,0.4318122,0.38423544,0.32911393,0.40698773,0.34456545,0.21481481,0.3493568,NA,287,"ltr"
"288","00000000000000000023_0",0.41332597,0.4182073,0.29876834,0.27694568,0.30051035,0.323939,0.25373134,0.39499146,0.18962379,0.2802751,0.29714465,0.17276008,0.42566532,0.290457,0.22462708,0.2965567,0.25940725,0.21808921,0.36716226,0.28509268,0.15318951,0.12277919,0.36265886,0.44247964,0.20941317,0.22250362,0.25699672,0.18518518,0.25643995,0.2970677,0.115264796,0.1771493,0.19218144,NA,288,"ltr"
"289","00000000000000000025_0",0.56427014,0.43945312,0.64285713,0.54847276,0.3971423,0.5407855,0.4647303,0.37159675,0.45742092,0.40615386,0.47960445,0.5103245,0.4522472,0.4985507,0.42491102,0.44379845,0.4283305,0.5298346,0.4967125,0.38932496,0.38797814,0.33019754,0.46728972,0.47929373,0.4208243,0.43608627,0.4380905,0.43186584,0.3645511,0.49685535,0.38281786,0.44080603,0.54347825,NA,289,"ltr"
"290","00000000000000000027_0",0.42101896,0.43082836,0.40591618,0.41896024,0.40889633,0.33589903,0.39665273,0.40780863,0.3725005,0.37584922,0.34067416,0.33236393,0.41966334,0.3356849,0.2980333,0.37278107,0.4119891,0.4091337,0.39020923,0.45258376,0.47506925,0.26574713,0.38263473,0.40340772,0.3586175,0.34462517,0.39936203,0.35424063,0.3549671,0.3820513,0.291363,0.3696382,0.39333016,NA,290,"ltr"
"291","00000000000000000028_0",0.3731959,0.40368593,0.36104652,0.41827884,0.40839696,0.29543146,0.33631286,0.36290145,0.42164314,0.38720143,0.39381227,0.43560147,0.36318654,0.39685366,0.44184372,0.42119,0.39339918,0.4230377,0.41056484,0.46146873,0.40937594,0.3688189,0.43962607,0.37478748,0.46261683,0.47023413,0.43772048,0.4163987,0.41307622,0.424581,0.36125654,0.39991677,0.4414557,NA,291,"ltr"
