system:index,VALUE,Wetness,Wetness_1,Wetness_10,Wetness_11,Wetness_12,Wetness_13,Wetness_14,Wetness_15,Wetness_16,Wetness_17,Wetness_18,Wetness_19,Wetness_2,Wetness_20,Wetness_21,Wetness_22,Wetness_23,Wetness_24,Wetness_25,Wetness_26,Wetness_27,Wetness_28,Wetness_29,Wetness_3,Wetness_30,Wetness_31,Wetness_32,Wetness_4,Wetness_5,Wetness_6,Wetness_7,Wetness_8,Wetness_9,.geo
000000000000000000e0_0,1.0,-558.0858,-416.7063,83.9208,540.84125,333.8717,255.6573,509.458,239.0023,248.8474,309.38507,297.9024,352.657,-617.5655,411.1435,352.2814,256.4943,410.205,421.7152,391.5032,423.7215,70.0418,104.62140000000001,143.5203,-167.6036,114.4786,195.88159999999996,119.31860000000003,50.2738,54.85,143.61731,312.2895,-236.6542,167.8152,
000000000000000000e1_0,1.0,-62.4341,108.6717,204.3781,493.9065,276.3043,207.8426,482.13666,193.0826,209.32831,271.914,252.9119,346.80185,115.5323,354.87225,291.96005,228.8679,378.376,386.2517,391.8678,415.30963,34.539,174.70330000000004,167.05185,264.4404,119.65279999999998,154.85064999999997,122.775,272.4837,181.9225,246.028,278.3762,84.0402,205.3363,
000000000000000000e2_0,1.0,-97.466995,88.8433,196.3362,531.2615,297.5394,182.4052,504.9881,227.3177,244.97824,316.12073,263.5688,367.77246,-80.7448,392.3862,353.75293,237.9733,420.8316,411.7084,392.02222,426.67664,69.6225,109.29139999999995,139.22660000000002,291.4689,118.5586,196.68479999999997,129.70045,339.9649,188.7166,280.27667,297.0755,-32.35915,227.55734,
000000000000000000e3_0,1.0,-757.1063,-694.74854,-672.071,-862.7043,-1106.9849,-1353.0176,-1472.1256,-2143.511,-2179.4814,-1884.2288,-1680.502,-1751.1953,-689.40967,-1856.5637,-1964.1049,-2057.67,-2129.8293,-1708.96,-1637.9272,-1826.1459,-2225.099,-812.5084,-713.1804999999999,-753.5923,-692.8016000000001,-1002.2293000000002,-466.21124999999995,-717.76636,-676.7359,-674.6034,-806.5929,-739.2739,-670.4828,
000000000000000000e4_0,1.0,-1186.4362,-1466.1257,-994.7095,-918.8815,-1038.8617,-966.8015,-1073.6844,-1823.4756,-1125.4764,-1161.1898,-1572.1182,-929.3924,-1335.1235,-987.1039,-1712.6475,-1223.7566,-1134.5374,-1110.7426,-1592.823,-1815.9456,-1713.4225,-891.6407500000001,-914.98585,-875.5235,-675.522,-971.7192500000001,-1076.2903500000002,-699.9033,-1464.1289,-1534.2673,-1324.7955,-1212.536,-1406.0739,
000000000000000000e5_0,1.0,-865.7018,-735.409,-356.61795,-305.518,-338.5236,-329.0621,-327.8399,-603.73126,-140.4532,26.2553,55.8645,298.64175,-822.57764,320.3838,278.6886,217.8058,331.3004,380.476,360.5227,373.3343,48.79855,129.09550000000002,191.82030000000003,-843.3378,113.24690000000001,173.4811,115.34119999999999,-731.5062,-842.7012,-623.9323,-583.4325,-581.2371,-478.64966,
000000000000000000e6_0,1.0,-1526.0614,-1436.113,-1679.4108,-1614.2393,-1740.3301,-1889.5414,-1715.834,-1979.7397,-1990.9884,-2502.997,-2455.1592,-1891.7175,-1370.2982,-2263.3232,-2769.747,-2783.1892,-2249.4636,-1839.3562,-1633.6395,-1948.8682,-1954.2766,-45.107000000000255,207.89690000000013,-1993.6233,44.07639999999998,-133.38250000000005,-24.397799999999904,-1436.327,-2020.1207,-1707.263,-1891.5654,-1961.247,-2049.2039,
000000000000000000e7_0,1.0,-666.7359,-699.4597,-1109.0505,-1171.8425,-1159.2998,-1475.2362,-1075.2725,-1733.7036,-2179.0942,-1882.239,-1612.2969,-1559.3868,-657.8732,-1425.2661,-1628.2834,-1846.9097,-1763.8145,-1517.4341,-1331.7698,-1678.5459,-1955.9159,-892.6549,-922.7168999999999,-667.5778,-906.3759000000001,-374.0350000000001,-661.7117499999999,-1598.6885,-1783.4221,-1155.6917,-1231.4856,-1091.942,-1828.0671,
000000000000000000ea_0,1.0,-538.5314,-672.4445,-314.88422,-505.1573,-857.708,-833.6107,-795.1571,-949.8497,-954.1715,-1242.9935,-1068.3453,-891.5311,-435.7494,-722.1047,-738.8307,-860.1178,-855.925,-751.8607,-919.5739,-1269.4285,-941.088,-372.4181,-504.5082,-776.7579,-500.61259999999993,-307.69730000000015,-422.1536000000001,-481.527,-1499.3933,-585.6254,-1167.2401,-1006.5671,-1324.4681,
000000000000000000eb_0,1.0,-353.7275,189.948,279.45575,536.6405,308.8254,266.77576,491.7979,216.70924,255.1407,261.7779,261.4494,315.01373,196.2717,354.58,294.0101,246.44336,374.7149,402.2,372.23138,384.1871,136.2726,133.4477,214.41070000000005,279.48764,146.7854,196.58614999999998,205.19540000000003,316.6721,161.26665,298.8055,226.9671,58.1624,199.90976,
000000000000000000ec_0,1.0,-1495.0394,-752.55914,-340.50507,-317.0343,-591.1311,-519.0568,-383.65533,-649.4099,-554.1009,-797.11926,-485.0288,-168.63394,-367.6187,-39.0529,245.71759,199.4561,328.5047,396.6241,332.4382,357.9163,57.349503,177.66789999999997,242.42755,-351.9301,141.91450000000003,252.27720000000005,161.6971,-20.3736,-219.4019,33.79615,-73.9297,-145.7824,-442.8696,
000000000000000000ed_0,1.0,-787.5022,-504.74634,-365.52118,-392.73706,-368.5361,-524.5633,-525.1906,-704.68176,-977.1372,-1248.1506,-820.3291,-883.0199,-775.0975,-888.1301,-912.3353,-1074.982,-1061.2864,-964.7884,-970.5015,-1094.5012,-1135.8877,-721.0529999999999,-467.70149999999995,-694.0127,-277.14095,-221.9015000000001,-409.50505000000004,-651.7319,-555.8857,-737.57556,-557.4843,-672.7069,-477.8767,
000000000000000000ee_0,1.0,-1017.0763,-1483.1633,-1066.2399,-1608.2422,-1818.3058,-944.8711,-1411.0697,-1901.4316,-1393.3733,-1658.4584,-1296.4817,-1268.685,-1066.0763,-1481.8773,-1714.7733,-775.0097,-1162.4231,-785.2395,-1621.1636,-1111.2311,-1328.5872,-874.2028,-604.6774500000001,-1085.65,-849.9773,-947.9525000000001,-650.3357500000001,-1071.3337,-932.273,-1103.3763,-1220.61,-1675.4021,-1504.813,
000000000000000000ef_0,1.0,-205.90656,288.91583,248.1931,497.6369,311.3194,184.08676,567.47156,254.4414,262.30353,331.99518,291.3595,387.2931,231.4478,400.1248,370.01526,277.49188,401.95435,436.9521,387.9747,429.8547,94.2485,127.62959999999995,250.01715000000002,445.77478,164.54625000000001,229.15634999999997,165.1121,376.7897,200.9413,329.7737,225.6094,98.2519,236.87445,
