system:index,NDWI,NDWI_1,NDWI_10,NDWI_11,NDWI_12,NDWI_13,NDWI_14,NDWI_15,NDWI_16,NDWI_17,NDWI_18,NDWI_19,NDWI_2,NDWI_20,NDWI_21,NDWI_22,NDWI_23,NDWI_24,NDWI_25,NDWI_26,NDWI_27,NDWI_28,NDWI_29,NDWI_3,NDWI_30,NDWI_31,NDWI_32,NDWI_4,NDWI_5,NDWI_6,NDWI_7,NDWI_8,NDWI_9,.geo
00000000000000000098_0,-0.39082655,-0.453136,-0.38618058,-0.12038304,-0.3568526,-0.42070964,-0.42931938,-0.40725923,-0.3851669,-0.36,-0.42831162,-0.42634365,-0.33429706,0.14571524,-0.5037122,-0.3004827,-0.39713362,-0.3988799,-0.27832627,-0.42940533,-0.45665473,-0.41854748,-0.45989665,-0.4882943,-0.4682482,-0.40428913,-0.36987233,-0.48866212,-0.42481443,-0.43914893,-0.46994534,-0.4545045,-0.44588983,
00000000000000000099_0,-0.418999,-0.42264152,-0.46335524,0.042001788,-0.4889173,-0.42350438,-0.30569947,-0.40142247,-0.36015084,-0.39161393,-0.40515494,-0.45167753,-0.287003,0.15695952,-0.36541513,-0.21943812,-0.35591668,-0.30645764,-0.3707317,-0.37222573,-0.3975094,-0.40189874,-0.46672282,-0.50585985,-0.4678995,-0.40214476,-0.32101765,-0.5162024,-0.49247217,-0.4600251,-0.51162195,-0.50603783,-0.49530008,
0000000000000000009a_0,-0.44779333,-0.37919793,-0.24803591,0.08768657,-0.3898111,-0.29636362,-0.38068473,-0.3893967,-0.4108238,-0.41839632,-0.38063616,-0.23423994,-0.36704448,0.22696629,-0.455636,-0.36367264,-0.36030617,-0.3739058,-0.35243553,-0.35475305,-0.43800038,-0.44693083,-0.43499622,-0.35009506,-0.43567148,-0.5167901,-0.4503386,-0.44286597,-0.4405002,-0.28454286,-0.21002622,-0.4462299,-0.39352503,
0000000000000000009b_0,-0.49642769,-0.51741606,-0.46153846,0.14067611,-0.37127635,-0.44210306,-0.16166346,-0.32634887,-0.39864016,-0.39427862,-0.25103694,-0.38042444,-0.38129497,0.039518073,-0.4377193,-0.38043478,-0.15846257,-0.37251908,-0.36766335,-0.3999586,-0.46904317,-0.49620852,-0.51902175,-0.51339483,-0.53010774,-0.5303605,-0.46893317,-0.5401662,-0.50395167,-0.4084199,-0.20060195,-0.5002902,-0.47237077,
0000000000000000009c_0,-0.30350837,-0.21061008,-0.30857143,0.005904455,-0.36430317,-0.4167103,-0.4528302,-0.44198644,-0.40288103,-0.45749575,-0.34742856,-0.44193378,-0.3457572,-0.29955342,-0.45454547,-0.40861976,-0.42987874,-0.2553967,-0.45734525,-0.40750325,-0.5171026,-0.45706737,-0.5059347,-0.47103825,-0.5463247,-0.5260693,-0.46356276,-0.45587787,-0.44048944,-0.4717873,-0.4158299,-0.43463755,-0.48025927,
0000000000000000009d_0,-0.2292849,-0.2686916,-0.24423076,0.07586207,-0.3125,-0.40327471,-0.4346426,-0.45127892,-0.3411199,-0.4250681,-0.33375356,-0.37599364,-0.20752864,-0.33794162,-0.22010398,-0.41498846,-0.35634243,-0.21237864,-0.4616896,-0.468854,-0.5215819,-0.50545096,-0.52196306,-0.4437086,-0.559267,-0.5401435,-0.45280665,-0.3985056,-0.3540856,-0.43131673,-0.39800075,-0.4,-0.3262032,
0000000000000000009e_0,-0.30503795,-0.11614731,-0.24844721,-0.046386193,-0.42597294,-0.43782654,-0.42194873,-0.3579639,-0.3431085,-0.35663816,-0.3752043,-0.446645,-0.25496182,-0.470099,-0.4159292,-0.22116564,-0.45430347,-0.1847564,-0.47036377,-0.45554712,-0.46858084,-0.44944066,-0.49615145,-0.48433837,-0.54392296,-0.44736066,-0.40465495,-0.48885792,-0.19106145,-0.50108254,-0.4668902,-0.48122182,-0.36256546,
0000000000000000009f_0,0.016149068,-0.087599546,-0.30944625,-0.36624008,-0.4393871,-0.4906801,-0.45952526,-0.45792407,-0.41153342,-0.34691152,-0.29486278,-0.32009438,-0.234588,-0.084535055,-0.45734727,-0.39577734,-0.26476443,-0.15700781,-0.3108946,-0.46343735,-0.4818991,-0.3859522,-0.4195823,-0.51042897,-0.4829743,-0.36206895,-0.45944762,-0.3825631,-0.35844615,-0.44218135,-0.46869713,-0.46897733,-0.42880794,
000000000000000000a0_0,0.13439636,-0.26520798,-0.2727848,-0.40903056,-0.39175257,-0.24492513,-0.42884663,-0.46465096,-0.4175517,-0.32418457,-0.4025892,-0.40223882,-0.40387276,-0.37471265,-0.43104213,-0.4390907,-0.33857825,-0.16844764,-0.36081082,-0.37328455,-0.3967742,-0.33561176,-0.4057799,-0.28242022,-0.4301031,-0.35555556,-0.378882,-0.46975425,-0.50060606,-0.49564636,-0.4335825,-0.50088674,-0.4357161,
000000000000000000a1_0,0.030263158,-0.3813397,-0.24960506,-0.33912462,-0.40264925,-0.49916106,-0.4517159,-0.4626506,-0.3989305,-0.41431096,-0.39903435,-0.4224806,-0.30730593,-0.37770155,-0.42820325,-0.45874307,-0.35222152,-0.28194955,-0.48671025,-0.44287318,-0.44074634,-0.3294748,-0.4134406,-0.33862016,-0.37563026,-0.43468168,-0.38657272,-0.49891382,-0.21361503,-0.5093743,-0.46300715,-0.49054027,-0.38840312,
