system:index,NDMI,NDMI_1,NDMI_10,NDMI_11,NDMI_12,NDMI_13,NDMI_14,NDMI_15,NDMI_16,NDMI_17,NDMI_18,NDMI_19,NDMI_2,NDMI_20,NDMI_21,NDMI_22,NDMI_23,NDMI_24,NDMI_25,NDMI_26,NDMI_27,NDMI_28,NDMI_29,NDMI_3,NDMI_30,NDMI_31,NDMI_32,NDMI_4,NDMI_5,NDMI_6,NDMI_7,NDMI_8,NDMI_9,.geo
000000000000000000d8_0,0.40216368,0.41929975,0.42592594,0.33963692,0.20151636,0.23997742,0.35645097,0.38751307,0.39401323,0.43922317,0.33687654,0.33462432,0.41678658,0.44062972,0.39658317,0.3952381,0.40506715,0.411437,0.37878248,0.40553632,0.32994032,0.38307986,0.45884818,0.41311193,0.45998007,0.43122903,0.4775017,0.22296259,0.41700917,0.45811376,0.27584863,0.2889328,0.340012,
000000000000000000d9_0,0.386829,0.43452877,0.42401043,0.46862745,0.3907767,0.44318455,0.42913607,0.37761733,0.4206128,0.4082086,0.37127468,0.36051843,0.40159348,0.38624337,0.38557798,0.4091333,0.41066283,0.3475011,0.39996216,0.40274164,0.40750852,0.39261195,0.47272173,0.42525303,0.4957405,0.34462842,0.41614908,0.42445537,0.45412704,0.36836243,0.35713053,0.4397449,0.41767362,
000000000000000000da_0,0.45206812,0.3639331,0.30718955,0.41711137,0.3417483,0.4525268,0.41258287,0.3416958,0.33367875,0.428425,0.43207455,0.36664075,0.28959376,0.3453108,0.33667123,0.25508896,0.306698,0.44815618,0.36196813,0.26447663,0.3251013,0.2742903,0.3726813,0.29175308,0.4235996,0.2976416,0.34643918,0.35815528,0.3152106,0.49817386,0.4031021,0.4174719,0.3826742,
000000000000000000db_0,0.32229638,0.38629785,0.32622367,0.42157692,0.36987284,0.44261423,0.37713534,0.38163933,0.2922196,0.34847528,0.38438773,0.36043572,0.36713654,0.37663293,0.39061257,0.37762657,0.37300113,0.39400354,0.39264187,0.3659231,0.3640553,0.21621,0.3439892,0.37593833,0.4653963,0.44798797,0.3972441,0.38535148,0.331143,0.34390834,0.31280643,0.3995714,0.3485503,
000000000000000000dc_0,0.2708296,0.39710054,0.35841793,0.51213425,0.3174141,0.33652255,0.3531304,0.33322713,0.41307652,0.4238609,0.46671388,0.35747868,0.39104944,0.3024419,0.38781038,0.37086943,0.3531589,0.3997948,0.42693156,0.45659316,0.4851991,0.38984868,0.53036124,0.37348562,0.5514086,0.4568775,0.48252788,0.29334822,0.32512394,0.38582438,0.28216285,0.33857405,0.3608417,
000000000000000000dd_0,0.3706164,0.25031307,0.27824727,0.34397718,0.32933947,0.2237216,0.23696858,0.30555996,0.24728115,0.25903758,0.35189554,0.37339696,0.35813537,0.22662495,0.24197608,0.20951673,0.29985967,0.2746924,0.2677731,0.3612424,0.23066622,0.28288984,0.2680851,0.38826466,0.35762483,0.34839818,0.2331478,0.27375802,0.2934002,0.21023135,0.13530947,0.3106429,0.28290424,
000000000000000000de_0,0.37335286,0.2640264,0.4019565,0.4352418,0.2594512,0.36751905,0.26886863,0.47118154,0.37285197,0.37400058,0.46712166,0.4725372,0.30184194,0.21937403,0.3736074,0.3224852,0.3857678,0.35925806,0.40331492,0.47868663,0.34901106,0.47920907,0.35452324,0.46666667,0.5067188,0.4514955,0.40428153,0.36212352,0.44872475,0.29211143,0.23857163,0.38417917,0.39565742,
000000000000000000df_0,0.43008995,0.3919837,0.35411572,0.36702216,0.3228541,0.3947306,0.45527133,0.42055476,0.3339426,0.4,0.31472176,0.3707039,0.47763497,0.3474762,0.33082706,0.3616324,0.38784194,0.37690243,0.48,0.35533357,0.36349598,0.4080214,0.43724334,0.47496206,0.47877863,0.37676767,0.4224616,0.5548387,0.33216375,0.48049942,0.33112472,0.358034,0.34876034,
000000000000000000e0_0,0.12176106,0.099322796,0.031832296,0.18556048,0.14681348,0.14428045,0.15327916,0.19078721,0.3179267,0.17939518,0.12583587,0.123531185,0.15069726,0.09732658,0.183412,0.150014,0.16,0.19372393,0.1736006,0.13921644,0.08373282,0.0027357286,0.16025223,0.06148455,0.18939394,0.1946924,0.10397351,0.067186825,0.08456065,0.09864536,0.13283885,0.15895016,0.14629629,
000000000000000000e1_0,0.26297155,0.13425232,0.04092422,0.22320303,0.2393539,0.23914325,0.19150133,0.26760563,0.17850098,0.22110023,0.1513148,0.22862242,0.18659636,0.2938162,0.19415006,0.17554335,0.123438865,0.21090183,0.22142391,0.20280199,0.17292243,0.18627876,0.15229653,0.16843346,0.26448584,0.22888817,0.1731052,0.23725201,0.24918187,0.17973804,0.16129814,0.32051283,0.15777339,
000000000000000000e2_0,0.28066528,0.24821657,0.180558,0.21639928,0.23112659,0.2575213,0.3354809,0.23028009,0.24886161,0.25641903,0.2694857,0.025939474,0.2373348,0.11788212,0.20315956,0.13896729,0.11033275,0.120590895,0.10103469,0.08979223,0.12169647,0.05916202,0.11047437,0.23139931,0.17389122,0.15958738,0.20658554,0.21892229,0.1566905,0.158886,0.18713044,0.3885659,0.22911905,
