system:index,Wetness,Wetness_1,Wetness_10,Wetness_11,Wetness_12,Wetness_13,Wetness_14,Wetness_15,Wetness_16,Wetness_17,Wetness_18,Wetness_19,Wetness_2,Wetness_20,Wetness_21,Wetness_22,Wetness_23,Wetness_24,Wetness_25,Wetness_26,Wetness_27,Wetness_28,Wetness_29,Wetness_3,Wetness_30,Wetness_31,Wetness_32,Wetness_4,Wetness_5,Wetness_6,Wetness_7,Wetness_8,Wetness_9,.geo
0000000000000000003c_0,174.84601,356.9474,156.2344,489.37024,385.2875,283.4033,548.6918,251.95305,303.39673,361.778,304.1246,377.8973,265.66693,383.5809,369.0221,328.489,398.10706,459.8857,395.06,436.3643,67.6467,171.3104,247.9666,428.47388,179.4173,225.94179999999997,278.73974999999996,428.1327,228.1443,342.5,248.31,143.85495,233.9106,
0000000000000000003d_0,111.86085,378.36963,225.88905,529.5259,396.7811,270.8403,567.584,274.3657,259.96045,368.50256,281.5537,401.945,280.87305,395.35657,389.2645,306.91418,449.74615,448.3397,416.9179,447.83002,115.0386,123.78670000000002,283.1789,461.80725,166.20399999999998,245.43839999999994,176.28539999999995,405.23,188.8286,338.9119,250.7224,160.4445,218.02866,
0000000000000000003e_0,168.7912,243.82089,226.1769,491.45044,337.6618,228.12704,494.2072,206.2323,218.32724,275.12115,278.2383,364.9634,48.396,352.27728,310.5206,245.3741,364.4875,413.54962,393.9968,403.58594,23.0054,72.29130000000002,142.3665,369.75958,112.60720000000002,161.59235,182.66735,309.0075,184.709,291.2657,296.3519,250.29684,241.31915,
00000000000000000040_0,-1208.4159,-1158.6064,-1172.0286,-916.6277,-908.4804,-1091.3342,-1267.4745,-1356.003,-1437.0397,-1524.1697,-1711.8287,-1508.2362,-1273.1577,-1313.4454,-1708.364,-1503.2119,-1377.2393,-1319.2122,-1510.6289,-1477.8408,-2267.7847,-465.44790000000006,-402.4219999999998,-1261.7637,-420.5150999999999,-73.6711000000002,-797.6510999999999,-1014.4633,-973.0665,-1335.213,-1159.2222,-699.7289,-1402.7499,
00000000000000000041_0,-1401.0754,-1403.6671,-891.7532,-915.5669,-765.0812,-1342.248,-1218.2549,-1707.9832,-1657.646,-1611.1294,-1757.7085,-1869.898,-712.1789,-1503.5542,-1419.8651,-1483.5813,-1397.5444,-1315.9644,-1412.8438,-1614.5344,-1850.1827,-612.4621999999998,-323.8148000000001,-1054.1152,-167.3310000000001,333.29139999999995,-287.7084000000001,-1017.8151,-1040.9185,-1103.7882,-1290.601,-1256.5778,-1241.4714,
00000000000000000042_0,-1734.3823,-1116.0729,-1175.7576,-1112.8063,-1259.386,-1442.8607,-1378.8018,-2170.308,-1515.0579,-1304.1382,-1176.6241,-1960.7402,-1316.9272,-1801.8933,-1508.4807,-1941.4408,-1581.0482,-1632.4456,-1582.3186,-1791.0281,-1695.1709,-877.8323499999999,-435.5419499999998,-1329.0402,-277.77155,-153.84485000000004,-390.88950000000017,-2259.532,-2495.8857,-956.35596,-1409.7681,-1139.4113,-1551.292,
00000000000000000043_0,-2159.1787,-1298.1013,-1995.2637,-1802.3754,-1552.4186,-1584.3375,-1273.7559,-2052.2515,-2258.8213,-1716.6675,-1459.5974,-1939.0034,-2594.858,-1689.1627,-1866.2206,-1571.6902,-1582.9304,-1652.7196,-1455.6198,-1827.2998,-2461.877,-850.3693000000002,-849.8163000000001,-1711.8987,-892.4056500000002,-523.1626500000002,-442.0704000000002,-1026.7865,-1168.4874,-1890.0377,-2026.8348,-1735.7634,-1741.9813,
00000000000000000044_0,-1742.741,-1234.4039,-1643.3359,-1599.869,-1337.49,-1418.8812,-1159.3887,-2034.1543,-1919.0912,-1519.9512,-1589.6174,-1723.823,-1771.4133,-1533.279,-1920.0063,-1600.0177,-1512.2249,-1510.7957,-1223.3325,-1927.2076,-2020.0122,-895.3368000000002,-938.3949,-1639.0865,-701.6275,-628.8801,-658.9564999999999,-1065.0734,-1485.3811,-1380.848,-2043.1094,-1138.8575,-1702.5585,
00000000000000000045_0,-1578.2863,-1118.8379,-1227.3308,-1228.2,-1141.7874,-1212.5701,-1203.4731,-1921.0522,-1540.377,-1571.5085,-1680.686,-1610.0277,-1898.6277,-1370.2576,-1550.7227,-1737.9309,-1384.7042,-1314.6006,-1477.501,-1926.0613,-1852.9857,-875.3469000000001,-335.8465,-1022.3404,-905.08055,-536.7006000000002,-1131.20845,-1113.8127,-1853.8049,-986.0996,-1489.0977,-1226.7906,-1140.8882,
00000000000000000046_0,-1315.3235,-1763.6615,-1376.8789,-1337.8403,-902.4301,-1619.2428,-1531.1727,-2132.8347,-1722.8593,-1839.9349,-1963.7051,-1533.7112,-2177.9438,-1721.6858,-1847.9995,-2335.4678,-1234.5535,-1351.0251,-1511.4296,-1914.4233,-1729.8732,-640.7727,-818.5633,-1050.9404,-884.3508,-357.09315000000004,-768.5242000000001,-762.3674,-2113.8677,-1570.9742,-1632.6149,-1137.4868,-1286.6405,
00000000000000000047_0,-659.30176,-437.01862,-852.489,-917.0412,-915.7628,-951.8037,-1091.0244,-1134.3862,-1099.0854,-1276.1075,-1201.2775,-1203.2266,-294.6178,-987.6177,-1128.3411,-933.0017,-953.2988,-925.0003,-1015.8221,-926.5099,-1368.6133,-273.5732000000001,-431.7931000000002,-331.0616,-309.8279,-234.42120000000017,-356.8918000000002,-478.99396,-802.3948,-662.7528,-808.4868,-565.9783,-1041.052,
00000000000000000048_0,-585.21594,-577.9119,-645.7173,-506.2897,-647.0604,-939.66956,-813.54285,-1091.7249,-1211.2068,-1161.124,-1109.9753,-1117.352,-561.9617,-939.2228,-1107.4385,-995.7861,-1021.7297,-1068.8164,-975.1884,-832.2847,-1420.7084,-205.7153,-80.29549999999995,-592.0081,-140.18060000000008,-265.42350000000016,-351.34185000000014,-631.70465,-805.09686,-519.166,-923.3932,-789.40247,-982.397,
00000000000000000049_0,-1062.2896,-898.405,-949.20703,-1114.8364,-1214.8857,-1253.343,-1026.6566,-1641.9541,-1657.1368,-1582.9004,-1632.813,-1572.4438,-1055.8267,-1518.5261,-1626.1364,-1482.696,-1535.9877,-1394.8772,-1635.0647,-1794.08,-1881.9606,-750.9444000000003,-223.58220000000006,-1089.4902,-525.2895000000001,-738.5251000000001,-580.9662000000001,-974.21045,-1395.4503,-1185.4858,-1229.6129,-1235.959,-959.8456,
0000000000000000004a_0,-1171.5717,-934.1193,-973.11084,-1107.7275,-1502.1251,-1132.9982,-1023.37805,-1734.152,-1619.1324,-1606.529,-1646.3423,-1423.9636,-824.1793,-1445.9735,-1759.5503,-1601.0688,-1631.3625,-1374.8478,-1582.8396,-1722.1968,-1829.2515,-595.0237999999999,-477.4400000000001,-1181.209,-698.5977000000003,-768.6805,-627.2325999999999,-985.0749,-1344.117,-1163.9563,-1250.0496,-1295.156,-907.6192,
0000000000000000004b_0,-745.85315,-1173.7997,-1302.6188,-1492.2921,-1654.4175,-1177.6346,-1137.2112,-1718.2809,-1526.0875,-2048.912,-1566.0244,-1620.0774,-1237.8065,-1567.6278,-1588.866,-1556.7954,-1482.9259,-1262.0349,-1362.1648,-1952.4913,-1938.777,-727.5239499999999,-495.2429000000001,-1158.1135,-530.575,-758.8260999999999,-418.41250000000014,-1081.656,-1156.4773,-1280.3772,-1427.2169,-1481.4148,-1309.8318,
