"","system.index","Wetness","Wetness_1","Wetness_10","Wetness_11","Wetness_12","Wetness_13","Wetness_14","Wetness_15","Wetness_16","Wetness_17","Wetness_18","Wetness_19","Wetness_2","Wetness_20","Wetness_21","Wetness_22","Wetness_23","Wetness_24","Wetness_25","Wetness_26","Wetness_27","Wetness_28","Wetness_29","Wetness_3","Wetness_30","Wetness_31","Wetness_32","Wetness_4","Wetness_5","Wetness_6","Wetness_7","Wetness_8","Wetness_9",".geo","CID","class"
"220","000000000000000000dc_0",-432.3349,-501.1516,-370.227,-431.7852,-544.6806,-530.21674,-573.5419,-746.0531,-779.9988,-900.5789,-828.95044,-602.2529,-453.5509,-506.8504,-572.562,-525.8361,-611.8521,-539.4249,-589.0421,-748.2893,-926.9125,-96.5747,23.70925,-549.4492,-69.3075,21.2384999999999,-24.2346000000001,-474.2937,-485.5344,-490.63257,-512.3964,-643.3912,-554.4192,NA,220,"for"
"221","000000000000000000dd_0",-701.16406,-715.856,-746.7351,-811.4132,-845.7925,-809.2256,-870.77625,-1120.8473,-1242.4473,-1327.1455,-1261.2241,-1000.9109,-687.5358,-772.2286,-922.6795,-678.7556,-885.4497,-806.2716,-848.1943,-975.0767,-1062.8732,-35.9318,66.1570499999999,-759.40796,9.24580000000003,-15.9829000000001,88.6344000000001,-698.9489,-700.09924,-751.3351,-765.3189,-872.8756,-793.0333,NA,221,"for"
"222","000000000000000000de_0",-563.8017,-442.94653,-426.35175,-491.2809,-506.6661,-563.2955,-575.8443,-843.4741,-900.6947,-924.5624,-801.1475,-684.9746,-572.4311,-672.5731,-690.34076,-654.1196,-793.0495,-690.4719,-685.3628,-818.0509,-940.6418,-75.6275499999999,102.47345,-519.96106,18.0180000000001,101.33735,102.1323,-522.3931,-515.6192,-538.7711,-638.81775,-510.8493,-561.6073,NA,222,"for"
"223","000000000000000000df_0",-70.348755,-146.2707,34.6799,-86.205,-196.8519,-349.75018,-236.674,-444.7109,-300.9339,-459.0997,-468.5031,-240.2861,-129.1928,-237.5465,-178.0593,-309.0503,-273.1815,-181.1259,-306.15305,-304.8694,-495.7153,10.2342499999999,73.9974,-275.29443,56.8121,98.1138,79.8422,-65.524704,-274.77277,-61.0784,-372.11224,-440.7855,-113.187454,NA,223,"for"
"224","000000000000000000e0_0",-344.92056,-494.39392,-347.79935,-418.51276,-491.5539,-657.4184,-501.42862,-736.8413,-644.1058,-947.38257,-690.7313,-620.4593,-383.9852,-652.6402,-594.9599,-586.0596,-703.6061,-473.71173,-661.396,-612.5204,-810.8845,14.2654000000001,122.2605,-579.8423,101.1606,122.4813,122.91665,-395.27704,-593.63837,-423.5278,-718.32983,-662.18396,-596.8295,NA,224,"for"
"225","000000000000000000e1_0",-378.2276,-505.4168,-293.4267,-455.7529,-423.33475,-489.73032,-548.8103,-691.25385,-676.9289,-819.19214,-743.65393,-717.1216,-428.2998,-567.8754,-557.5937,-615.26953,-660.21173,-565.4161,-523.1113,-719.4823,-869.8319,-110.4676,47.8129,-499.4715,-7.13170000000019,33.6216,65.9087,-390.3784,-472.4038,-380.5819,-485.9762,-508.77063,-402.28656,NA,225,"for"
"226","000000000000000000e2_0",-696.04297,-608.99915,-504.4087,-570.6509,-562.6246,-601.99817,-752.84094,-902.4866,-871.8274,-993.28564,-881.912,-676.97003,-566.8654,-598.1889,-610.096,-629.9237,-882.25024,-699.9292,-671.68787,-839.20593,-950.0014,33.3629500000001,171.8197,-639.4338,101.45965,106.3493,188.4576,-576.9352,-567.2743,-573.05475,-653.29755,-681.75604,-598.34174,NA,226,"for"
"227","000000000000000000e3_0",-539.2099,-512.7582,-427.19705,-530.7529,-470.1978,-519.7749,-570.4129,-823.2063,-822.1016,-955.50146,-776.0757,-671.9981,-507.0008,-597.8785,-569.3611,-570.0464,-776.35706,-655.85614,-651.7275,-731.4977,-834.8568,52.2122,99.8799,-571.4623,66.0427,-19.7269000000001,116.8073,-511.3771,-468.3448,-474.84412,-627.2713,-578.5907,-532.9485,NA,227,"for"
"228","000000000000000000e4_0",-486.6913,-535.5037,-434.3372,-406.8389,-442.0199,-646.6829,-593.1347,-835.5552,-769.30365,-917.55194,-779.6776,-776.1202,-518.60535,-616.4845,-637.80054,-552.608,-727.9391,-626.9641,-661.4376,-665.6234,-897.77734,8.36625000000006,159.69275,-613.02136,104.5141,101.9677,123.4306,-413.0297,-492.8649,-473.8904,-509.5856,-571.1959,-602.12646,NA,228,"for"
"229","000000000000000000e5_0",-183.54515,-261.9723,-131.0239,-189.1795,-276.19183,-221.5005,-386.78082,-485.8416,-432.6977,-549.3242,-460.4724,-324.97064,-222.51715,-304.6542,-325.81296,-357.7106,-423.0337,-345.8213,-342.39893,-462.971,-542.6857,0.155900000000045,72.1974999999999,-289.5596,76.9781,77.6716000000001,100.6698,-221.1576,-245.06885,-143.19595,-228.4298,-335.87875,-265.4859,NA,229,"for"
"230","000000000000000000e6_0",-455.4409,-453.37,-401.60684,-524.93335,-483.5999,-482.81793,-652.0626,-775.6572,-723.7024,-931.50055,-757.3703,-654.3747,-509.6175,-743.0772,-570.9228,-569.5916,-684.9426,-603.02484,-612.5796,-740.2124,-789.8091,10.4529500000001,132.9364,-535.39636,83.3536000000001,111.8105,120.0216,-427.61,-574.8352,-460.9849,-527.3293,-545.2245,-537.1349,NA,230,"for"
"231","000000000000000000e7_0",-514.4256,-462.3749,-403.84143,-440.66327,-462.5197,-473.19153,-557.41327,-705.3519,-774.88855,-837.9469,-752.3252,-623.4264,-463.345,-643.4228,-575.5623,-538.0357,-669.1346,-568.3857,-615.6536,-743.31396,-843.88257,-14.6821999999999,56.4709999999999,-492.12646,40.7198999999999,53.6476999999999,60.1105000000001,-492.4986,-486.46283,-498.2925,-384.90967,-475.3741,-417.12872,NA,231,"for"
"232","000000000000000000e8_0",-331.6518,-368.74155,-277.159,-289.25452,-464.665,-432.26465,-473.2355,-652.1901,-592.7178,-797.6566,-680.74,-533.9992,-365.41437,-450.35724,-510.0047,-527.8919,-596.76794,-491.1374,-558.7354,-625.4335,-729.6671,-76.76925,79.8361499999999,-418.97604,86.1308,75.6994,44.54135,-264.0957,-402.6393,-282.0802,-437.9462,-537.6765,-501.2585,NA,232,"for"
"233","000000000000000000e9_0",-770.681,-721.65576,-683.3103,-677.8113,-713.1879,-752.2289,-703.1002,-988.40607,-994.5145,-1102.9421,-1001.01917,-966.29846,-653.89703,-727.014,-936.539,-714.6695,-1009.5552,-751.1477,-824.7203,-870.1307,-1151.4073,15.8570999999999,110.3712,-691.14185,47.9272,82.3132499999999,133.1833,-682.4794,-618.2379,-634.1816,-623.6731,-708.25055,-692.7021,NA,233,"for"
"234","000000000000000000ea_0",-660.5562,-655.52893,-666.8522,-562.83923,-608.6433,-650.1943,-633.3652,-926.6005,-944.2121,-1067.1086,-929.3258,-827.4799,-616.846,-758.3212,-840.7926,-732.02,-870.46606,-671.19006,-804.5093,-863.7001,-966.2375,-46.6047,55.8827,-698.2943,23.3109499999998,33.1915,88.4104999999999,-659.9057,-671.847,-656.5869,-560.9755,-648.602,-597.42615,NA,234,"for"
"235","000000000000000000eb_0",-312.8214,-372.1327,-149.58731,-256.7403,-240.61769,-320.9562,-279.1915,-542.4175,-473.8458,-606.725,-531.99524,-372.99286,-352.0931,-374.97986,-396.67432,-436.7323,-463.0628,-376.46484,-490.73407,-508.54944,-628.75037,11.9907,84.5101500000001,-474.4304,92.30665,74.3379999999999,106.6629,-274.03687,-355.231,-293.19916,-203.0829,-395.1944,-421.183,NA,235,"for"
"236","000000000000000000ec_0",-816.69,-716.18005,-655.3826,-608.4378,-539.3595,-727.5647,-628.1316,-751.5244,-852.13513,-1042.5369,-832.67596,-758.426,-715.29346,-614.788,-764.75,-682.989,-795.7169,-598.2943,-806.6751,-662.6135,-957.50916,123.8396,189.5915,-737.8456,105.11225,172.9148,228.5002,-663.6625,-650.0216,-638.7513,-523.8316,-575.6115,-600.7792,NA,236,"for"
