"","system.index","Brightness","Brightness_1","Brightness_10","Brightness_11","Brightness_12","Brightness_13","Brightness_14","Brightness_15","Brightness_16","Brightness_17","Brightness_18","Brightness_19","Brightness_2","Brightness_20","Brightness_21","Brightness_22","Brightness_23","Brightness_24","Brightness_25","Brightness_26","Brightness_27","Brightness_28","Brightness_29","Brightness_3","Brightness_30","Brightness_31","Brightness_32","Brightness_4","Brightness_5","Brightness_6","Brightness_7","Brightness_8","Brightness_9",".geo","CID","class"
"275","00000000000000000013_0",2738.7947,3446.432,2477.1536,3048.8225,3093.1614,3057.8457,2912.3088,3431.1533,3224.478,3119.5222,3030.0068,2923.5234,3057.466,2982.7424,2741.641,3181.6733,3031.9746,3109.0103,2850.727,2950.8987,2913.224,3007.024,3534.7622,3314.3062,3375.8616,3044.8594,3084.8828,2823.7402,3325.037,3387.6382,3516.4695,2878.6272,3284.1836,NA,275,"ltr"
"276","00000000000000000014_0",3519.2034,4274.771,3586.375,3619.5903,4257.5337,3673.4653,3577.273,3571.1438,3668.9565,3793.465,3690.7495,3614.606,3667.6372,3477.125,3378.8625,3644.7493,3337.6543,3382.3584,3530.9456,3277.811,3322.1245,3602.8735,3706.8042,4091.8262,3645.63,3706.8408,3415.4263,4289.791,4575.426,3976.8225,3764.117,2823.2,3777.7717,NA,276,"ltr"
"277","00000000000000000015_0",3664.3506,3466.7192,3838.9946,3725.5503,3680.829,3633.5493,3577.2007,3522.443,3525.3623,3566.1768,3620.1726,3555.4111,3670.3496,3591.5527,3459.1057,3484.7188,3352.403,3511.315,3648.2583,3439.8105,3371.7935,3670.4326,3523.1348,3598.0156,3538.3992,3710.3203,3469.9778,3599.3843,3444.0557,3543.9355,3363.189,3528.1677,3640.7954,NA,277,"ltr"
"278","00000000000000000018_0",2626.4038,2260.617,2210.7988,2244.9312,2319.733,2702.505,2700.3777,2819.2258,2791.8203,2677.5398,2776.7073,2704.4382,2393.032,2598.5952,2570.9414,2826.0225,2656.9868,2752.3545,2991.7246,2708.6853,3203.0884,3483.2341,3372.2783,2417.5542,2870.7292,3060.889,3422.9385,2602.1333,2045.8662,2446.253,3115.172,3348.3574,2192.7102,NA,278,"ltr"
"279","00000000000000000019_0",1921.1191,2188.2146,1439.6849,1817.2446,2144.581,1837.019,2208.2332,2110.0073,1980.4441,2320.0715,2357.7163,2271.0754,1873.5981,1957.6405,1885.0537,1994.0028,2034.3986,1927.0403,2152.2124,2373.6396,1830.3326,2019.2241,2563.4795,2297.863,2151.3198,2390.5908,2490.261,2231.2905,2435.1401,2182.0156,1876.4362,867.4511,2373.7324,NA,279,"ltr"
"280","0000000000000000001a_0",2899.119,2670.5178,2663.1501,2494.6123,2374.8845,2918.8079,2845.006,3113.5803,3063.6626,2904.6792,3054.2822,3096.1274,2671.9238,3070.1577,3279.6245,3439.5583,3482.0327,3286.9722,3331.8865,3179.2292,3288.3616,3932.0447,3650.1404,2785.6003,3603.4165,3306.8306,3389.6597,2968.0193,2774.19,2719.123,2766.7515,3008.4502,2570.1113,NA,280,"ltr"
"281","0000000000000000001b_0",1419.2249,1789.813,1019.5398,1683.9214,2041.2349,1767.3545,1920.4623,1728.6805,1942.4667,2095.3762,1992.3416,1888.6792,1844.3448,1825.0168,1443.881,2165.9248,2301.0732,1717.1936,1706.1229,1853.8167,2037.9725,1551.18,2372.5044,2063.3164,2184.89,1939.6306,1946.7935,1528.6415,1975.8264,1731.1522,2327.5337,2046.835,2060.768,NA,281,"ltr"
"282","0000000000000000001c_0",3151.8242,3350.371,3527.7444,3232.4146,3433.722,3680.4817,3508.8694,3768.8594,3484.232,3404.8718,3488.1035,3304.1875,3652.7087,3485.9507,3474.5005,3824.5752,3167.605,3460.1382,3545.3757,3690.2495,3875.6,4544.7456,4031.2856,3527.765,3678.7717,4024.37,4120.9785,3628.8247,3656.3882,3525.8738,3785.0205,3363.349,3889.1045,NA,282,"ltr"
"283","0000000000000000001d_0",3501.523,3590.4858,4399.448,4259.3633,3761.7502,3805.3335,3878.5361,3964.5676,3996.888,3962.0361,3796.9546,3832.2793,3511.561,3877.4768,3685.7117,3606.4258,3626.669,4107.1777,3921.2058,3769.4873,3806.9185,3949.3552,4674.074,3584.2393,4881.4346,4713.452,4373.7026,4421.092,4223.8013,3987.1416,4091.3796,3857.4893,3992.38,NA,283,"ltr"
"284","0000000000000000001f_0",3615.773,4194.0225,4266.1353,3911.7686,3779.2441,3622.902,3613.919,3997.7593,3704.877,3597.45,3742.7764,3878.6106,3995.093,3709.4434,3583.1304,3787.7788,3805.5747,3654.9272,3594.3652,3699.3713,3557.1663,3940.2268,4172.258,4331.106,3912.0232,4301.5225,4075.2317,4487.4526,3959.172,4010.5366,4254.7207,4432.8096,4140.8257,NA,284,"ltr"
"285","00000000000000000020_0",3624.8816,3699.4612,3559.1167,3398.0066,3297.4165,3413.1396,3393.4146,3395.9734,3438.337,3680.325,3871.3271,3243.3394,3809.795,3124.9724,3074.5288,3181.8203,3232.3867,2750.5205,3093.1084,3247.434,3328.0967,2389.6265,1900.0175,3645.775,1985.3412,1648.275,1871.5028,3624.2104,3749.923,3878.0134,3613.96,3745.2266,3598.5068,NA,285,"ltr"
"286","00000000000000000021_0",2113.3044,2255.2524,1662.7007,2632.1387,2003.4065,2087.0442,2654.9905,2777.3662,2844.4153,2863.1929,2796.6104,2373.2188,2489.646,2339.6504,2057.0322,2578.0862,2516.5154,2380.4678,2131.294,2229.3306,2320.6602,1813.1517,2957.4207,3076.8245,3056.1306,2592.8706,2680.2227,2876.3735,3105.1072,2715.176,3099.4758,2942.0977,2485.7185,NA,286,"ltr"
"287","00000000000000000022_0",2832.7393,3217.646,2517.4465,2829.2563,3114.762,3474.7964,3083.588,3172.491,3291.0488,3287.0972,3303.7385,3302.8198,3332.1187,3127.9875,2902.7336,3467.1218,2909.4849,3046.711,3199.129,3120.979,3165.4443,3910.8547,3706.2444,3494.6458,3454.794,3187.749,3561.5847,3066.493,3220.9995,2919.7522,3185.1558,3370.7456,3606.3086,NA,287,"ltr"
