system:index,NDVI,NDVI_1,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_2,NDVI_20,NDVI_21,NDVI_22,NDVI_23,NDVI_24,NDVI_25,NDVI_26,NDVI_27,NDVI_28,NDVI_29,NDVI_3,NDVI_30,NDVI_31,NDVI_32,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,.geo
000000000000000000f1_0,0.84133524,0.8246694,0.7886598,0.7812564,0.7557252,0.7106227,0.78674084,0.78005344,0.7836338,0.81068075,0.78667885,0.7811455,0.74303603,0.81665355,0.76590693,0.8511564,0.7610249,0.82350427,0.79051566,0.8049732,0.7769719,0.7700662,0.8486005,0.7356378,0.8457782,0.8640585,0.8679207,0.6871629,0.7611171,0.7423369,0.6977881,0.7454144,0.8119908,
000000000000000000f2_0,0.79127556,0.82986265,0.7810148,0.8050011,0.77924216,0.7875279,0.8074039,0.82323354,0.8317669,0.85989255,0.8335229,0.8131685,0.8194764,0.7826595,0.7661309,0.80904526,0.82218754,0.7634213,0.7585503,0.7769198,0.8427012,0.8753014,0.83216494,0.8052967,0.850184,0.85323334,0.8844422,0.76545084,0.6874669,0.8246338,0.74035746,0.80622697,0.76868176,
000000000000000000f3_0,0.7750809,0.7837704,0.739672,0.75789,0.7613582,0.7070234,0.74710983,0.7989256,0.77728283,0.7881668,0.77938247,0.8274529,0.797561,0.8086293,0.77438307,0.8195787,0.797841,0.8009007,0.7506562,0.7767037,0.8051205,0.85586715,0.85494995,0.7126627,0.86538464,0.85532945,0.8484313,0.7124454,0.7700454,0.81030726,0.7422943,0.7678662,0.7401079,
000000000000000000f4_0,0.8355807,0.80612713,0.7873721,0.82537407,0.79682964,0.8277367,0.7876808,0.86579895,0.8581375,0.81004316,0.84718907,0.86535007,0.7988873,0.8119745,0.8526361,0.8179916,0.84688014,0.81760436,0.8390038,0.8797051,0.8691849,0.8405622,0.9127801,0.8178694,0.9237223,0.9093412,0.89824027,0.80676574,0.81494814,0.82468283,0.7852523,0.8243274,0.86725664,
000000000000000000f5_0,0.7334044,0.7249725,0.766985,0.8637138,0.7844785,0.74343705,0.78054863,0.8023649,0.79651606,0.8534568,0.88016915,0.82422054,0.7375505,0.7907928,0.7774049,0.8164498,0.8275771,0.84217334,0.8323154,0.8329918,0.84314686,0.8694921,0.8616274,0.76701087,0.86390406,0.8914995,0.8829152,0.7141419,0.77265465,0.77999544,0.7639684,0.744,0.790443,
000000000000000000f6_0,0.76503426,0.7385057,0.7703252,0.8858528,0.7707413,0.7394881,0.7771117,0.82384735,0.81796896,0.8897214,0.83076924,0.82843256,0.6920928,0.8134352,0.71936756,0.78483546,0.7978047,0.7684078,0.7720902,0.7858045,0.8456461,0.83466774,0.8067847,0.7680798,0.85949177,0.85636145,0.8710373,0.73707926,0.7740144,0.7522259,0.70621467,0.765029,0.762694,
000000000000000000f7_0,0.7022355,0.68940187,0.7411527,0.8151523,0.77575904,0.79378414,0.78985137,0.8472714,0.7983397,0.7626098,0.7280797,0.78260076,0.66913176,0.67939943,0.6626826,0.7008751,0.65553194,0.7784744,0.7912844,0.799659,0.7217231,0.7060165,0.805015,0.72908366,0.8102656,0.8319983,0.84361017,0.70256656,0.7594132,0.73087955,0.73778576,0.76006275,0.7779838,
000000000000000000f8_0,0.7568685,0.72870815,0.76234424,0.8170411,0.76875144,0.77048475,0.80255514,0.8006679,0.72383785,0.7504907,0.7701901,0.7919724,0.7165078,0.80187875,0.57179886,0.65705377,0.64293635,0.821793,0.82525843,0.72371966,0.74968815,0.7893665,0.81008035,0.7704205,0.77366626,0.8030303,0.76466066,0.7531486,0.79724836,0.8116453,0.7305361,0.78157157,0.7490858,
000000000000000000f9_0,0.81369466,0.7730368,0.7374974,0.7716018,0.7690418,0.7254321,0.79274863,0.94392526,0.78582436,0.87632287,0.81355506,0.78403324,0.76236045,0.8122318,0.7866733,0.8142263,0.79347825,0.7760578,0.80589956,0.8077021,0.79205364,0.7906137,0.77060133,0.75247526,0.8337334,0.779606,0.8110314,0.76797384,0.7726167,0.7248954,0.7156075,0.78038275,0.7583096,
000000000000000000fa_0,0.7485683,0.796371,0.7944325,0.8446356,0.82764506,0.72953045,0.74551624,0.8122725,0.85009044,0.8049008,0.82060975,0.83865017,0.73198307,0.86262625,0.792,0.88673556,0.8680065,0.8367542,0.7889837,0.80424213,0.7797969,0.82071245,0.85391307,0.7095571,0.88913614,0.8674429,0.83977646,0.8783351,0.7985769,0.6877153,0.7324597,0.73376274,0.75200975,
000000000000000000fb_0,0.719888,0.77976817,0.7993421,0.88934994,0.7877041,0.7260349,0.76815706,0.81304044,0.81205165,0.8272869,0.8039741,0.8337089,0.7947402,0.817264,0.7984028,0.81363636,0.83972424,0.8061174,0.8009795,0.7593718,0.83827,0.7379719,0.7887291,0.73809,0.8637031,0.8290489,0.8358028,0.82792956,0.79759157,0.646251,0.7157703,0.7557184,0.81627756,
000000000000000000fc_0,0.76626015,0.7776224,0.7175737,0.730369,0.7351555,0.73345894,0.754983,0.8766548,0.8162928,0.8400138,0.83630884,0.744739,0.7815811,0.80680877,0.81444335,0.79788256,0.79184896,0.77214044,0.7962791,0.82762533,0.76771086,0.83381754,0.82091475,0.7366394,0.83878267,0.92082614,0.8016742,0.74092764,0.7405281,0.78976005,0.7257499,0.7266667,0.76238936,
000000000000000000fd_0,0.80995274,0.79024917,0.7889757,0.73487157,0.7219986,0.7521264,0.79399836,0.82785165,0.7661055,0.7475388,0.78720415,0.81477356,0.789135,0.83398354,0.8215582,0.83633894,0.8340309,0.8107646,0.8395722,0.81221986,0.7844578,0.8140307,0.8532324,0.82221246,0.8744125,0.87453216,0.829407,0.8070488,0.7755511,0.79734516,0.73967403,0.8143646,0.78070366,
